shot_id,timecode_in,timecode_out,duration,narration_anchor,visual,motion,asset_type,scene_ref,paper_anchor,status
S0-001,0:00,0:14,14,N0 ·「设想一个学生」,纯底色 #101820 黑场，主标题「当 AI 开始给自己当老师」暖白 #F5F1E8 居中,缓入浮现并轻微上浮放大，停留 2s 留白 CUE_A,TXT,S0,N/A-视觉层,TODO
S0-002,0:14,0:26,12,N0 ·「你会相信他的成绩单吗」,学生剪影居中，左侧出题卷、上方红笔批卷、右侧盖章打分三枚图标，一张成绩单压红色问号,三枚图标依次点亮，成绩单轻微摇晃，红色问号脉冲缩放 CUE_B 前置,ANIM,S0,N/A-视觉层,TODO
S0-003,0:26,0:40,14,N0 ·「正在大规模地做这件事」,成绩单分数折线持续爬升；悬念副标「自己出题·自己批卷·自己验收——成绩单能信吗？」与论文出处小字浮于主标下方,折线缓升定格后副标渐显，出处小字最后淡入并停留 2s CUE_B,TXT,S0,§5 开篇,TODO
S1-001,0:40,0:53,13,N1a ·「先说清楚一件事」,舞台中央大脑球体 θ 暖白发光，外圈轨道环上四颗装备节点 Σ 虚影待亮,大脑球体缓入自转，轨道虚线描边聚合成环 CUE_A,ANIM,S1,§3.1,TODO
S1-002,0:53,1:11,18,N1a ·「一部分是「大脑」」,大脑球体推近占屏，内部神经连线与参数光点呼吸明暗，「几十亿、几千亿参数」标签浮于侧上方；装备节点降至 0.3 透明度,推镜聚焦大脑，参数光点呼吸闪烁，标签弹入并停留 CUE_A,ANIM,S1,§3.1,TODO
S1-003,1:11,1:29,18,N1a ·「另一部分是「装备」」,视角拉回全景，四颗装备节点依次点亮：提示词、记忆库、工具箱、控制规则；θ 与 Σ 符号标签分别锚定大脑与装备环,节点逐一亮起回弹，符号标签描边写就 CUE_A,ANIM,S1,§3.1,TODO
S1-004,1:29,1:42,13,N1b ·「大脑 θ，就像手机出厂」,左右分栏之左半：手机主板芯片与焊点火花，θ 标签烙印其上，「回厂重造」警示牌,升级箭头冲向芯片被闸门弹回，焊点火花迸溅两拍 CUE_B,FIG,S1,N/A-视觉层（类比）,TODO
S1-005,1:42,1:55,13,N1b ·「装备 Σ，就像你后装」,右半：手机界面 APP 格子对应四件套图标，角落常驻小字「类比为便于理解，非论文内容」,APP 图标落入格子回弹，长按卸载缩小溶解，装卸往复对照 CUE_B,ANIM,S1,N/A-视觉层（类比）,TODO
S2-001,1:55,2:16,21,N1c ·「天然分成两条路」,智能体分出两条岔路：上路 Σ 快道装备图标滑行插小旗，下路 θ 慢道厚重台阶逐级夯筑；路端标注「快/浅」与「慢/深」,分叉描边双向延展，快道图标先行抵达，慢道台阶缓慢夯实（CUE 前置·总纲铺垫）,ANIM,S2,§9.1,TODO
S2-002,2:16,2:38,22,N1c ·「需要一种「学习信号」」,主干公式 θ_t ─S_t→ θ_{t+1} 居中呈现，旁注标签「S = 学习信号」,公式逐段描边写就，箭头流动虚线强调，S 标签亮度脉冲并停留 1.5s CUE_A,ANIM,S2,§3.2/Fig.6,TODO
S2-003,2:38,2:57,19,N1c ·「第一种，自己出题」,蓝/黄/绿三条路径自公式汇出，分别流入三张预告卡：自己出题(D)、自己批卷(e)、自己做实验(τ),三色路径依次描边汇入，卡片逐张点亮后并列定格 2s CUE_B+CUE_C,ANIM,S2,§5 开篇/Fig.6,TODO
S3-001,2:57,3:16,19,N2a ·「AI 训练的传统办法」,人群剪影伏案写题卡，题卡经传送带汇入模型；旁侧金币堆燃烧缩水，「贵」「永远不够」标签,传送带缓速传动，金币燃烧粒子上升，标签先后弹入（CUE_A 前置）,ANIM,S3,§5.1,TODO
S3-002,3:16,3:36,20,N2a ·「那就让它自己出题」,蓝色飞轮四节点闭环：出题卷→AI 作答→数据滴落→训练仓点亮大脑,飞轮启动缓转逐圈加速，蓝色高亮，四周元素降至 0.3 透明度 CUE_A,ANIM,S3,§5.1（Self-Instruct）,TODO
S3-003,3:36,3:55,19,N2a ·「Evol-Instruct 更进一步」,飞轮旁升起难度阶梯：一元→二元→三元方程台阶逐级抬高；旁支筛选器将多张解答卡仅留高把握一张滑入训练仓,阶梯逐级弹升点亮，未选解答卡抖动后淡出溶解 CUE_A,ANIM,S3,§5.1（Evol-Instruct）,TODO
S3-004,3:55,4:18,23,N2b ·「想想复印机」,复印机示意：左侧原件文字清晰，多代复印件向右排开，笔画逐代模糊、灰度抬升，末代糊成灰团,复印件横向依次推出，清晰度逐代衰减，灰团定格 1.5s CUE_B,FIG,S3,N/A-视觉层（类比）,TODO
S3-005,4:18,4:40,22,N2b ·「拿自己生成的数据训练自己」,复印链折叠成闭环：大脑 θ 喂食自产数据；「模型坍缩」红色标签与《自然》2024 引用条压入,闭环旋进收缩成坍缩螺旋，多样性彩点逐圈褪为单灰，偏差振幅逐圈放大 CUE_B,ANIM,S3,§5.1 Challenges,TODO
S3-006,4:40,5:02,22,N2b ·「还有个更隐蔽的坑」,知识气泡：AI 立于知识圆盘中心，熟悉领域亮环渐缩，圈外知识点图标逐一熄灭,气泡圈向心逐圈收缩，圈外图标熄灭，气泡内壁反光增强 CUE_B,ANIM,S3,§5.1 Challenges,TODO
S3-007,5:02,5:22,20,N2c ·「别扔真人数据」,训练仓双通道入口：灰色自产数据流与暖白真实数据流按比例混合汇入，旁挂「原件对照」标签,双流交汇缓动混合，原件光斑周期校准复印字迹清晰度 CUE_C,ANIM,S3,§5.1 Challenges,TODO
S3-008,5:22,5:42,20,N2c ·「请「外部裁判」把关」,验证器闸门：代码卡过门分两支——绿色对勾放行、红色叉子退回；旁挂定理证明器徽标,代码卡逐张过门，勾叉分支交替闪烁，绿通行链路高亮 CUE_C,ANIM,S3,§5.1 Challenges,TODO
S4-001,5:42,5:58,16,N3a ·「自己批改自己的作业」,摊开的作业本居中，AI 剪影执红笔自批；背景人类反馈流水线（人工逐份批改+金币燃烧）压暗至 0.3 透明度,红笔批注逐条落笔，人类流水线退场降暗，金币余烬熄灭（CUE_A 前置）,ANIM,S4,§5.2,TODO
S4-002,5:58,6:19,21,N3a ·「按「规矩」打分」,三联卡之第一卡：《阅卷手册》封面翻开，内页「有用、无害、诚实」三原则金字，AI 照章逐条打分,手册翻页缓动，三原则逐条点亮，笔尖沿卡扫过打分 CUE_A,ANIM,S4,§5.2（Constitutional AI）,TODO
S4-003,6:19,6:35,16,N3a ·「第二种，靠「投票」」,三联卡余下两卡轮廓浮现：投票卡（十张选票）与纠正反馈卡（回旋箭头），半透明悬念态,两卡轮廓描边呼吸闪烁，镜头微推至投票卡，第一卡降暗 CUE_A,ANIM,S4,§5.2,TODO
S4-004,6:35,6:55,20,N3b ·「让 AI 独立做十遍」,中央题目卡，十张答案卡扇形展开，七个「42」卡与三个杂项答案卡并存,十卡扇形逐张弹出回弹，七个「42」发光牵引聚拢成束定格 CUE_B,ANIM,S4,§5.2（TTRL）,TODO
S4-005,6:55,7:14,19,N3b ·「本身就是学习信号」,「42」多数派答案束化为黄色训练目标箭头射向大脑 θ，旁注「一致性反馈」标签,答案束压缩成黄色信号粒子流注入大脑，大脑亮度阶跃提升并停留 1.5s CUE_B,ANIM,S4,§5.2（TTRL/一致性反馈）,TODO
S4-006,7:14,7:33,19,N3c ·「「大概率」三个字，正是要害」,同构十卡场景重演：十张「43」答案卡，同样整整齐齐、口径一致,复刻聚拢动效镜像重演，聚拢瞬间画面边缘泛红色警示脉冲 CUE_C,ANIM,S4,§5.2 Challenges,TODO
S4-007,7:33,7:51,18,N3c ·「一致，不等于正确」,「自信地错」红色大字标签；旁图阅卷老师与做题学生共用同一大脑剪影，盲区阴影自遮挡,红字缓入放大定格 1.5s，共用大脑盲区阴影缓慢扩散 CUE_C,ANIM,S4,§5.2 Challenges,TODO
S4-008,7:51,8:05,14,N3d ·「防法也有几条」,裁判席与学生席两个模型节点（不同版本/家族徽标）从重合态分离，中间隔断带标注「独立」,双节点缓缓分离，隔断带升起，连线断开成虚线 CUE_D,ANIM,S4,§5.2 Challenges,TODO
S4-009,8:05,8:19,14,N3d ·「保留一小批人类批改」,人类手指为锚点题卡盖章钉入题库，校验仪表盘指针摆动；角落两评判器图标碰撞出黄色「分歧警报」,锚点卡落钉弹动，仪表指针周期回摆校准，警报图标闪烁两拍 CUE_D,ANIM,S4,§5.2 Challenges,TODO
S5-001,8:19,8:35,16,N4a ·「第三种当法，最接地气」,绿色调实验工作台：AI 剪影合上作业本走向代码编辑器，背景现实世界齿轮组,全场绿色氛围缓入，纸面元素退场，AI 剪影横移走位（CUE_A 前置）,ANIM,S5,§5.3 开篇,TODO
S5-002,8:35,8:52,17,N4a ·「跑一遍单元测试」,屏幕样式代码编辑器：运行后单元测试列表逐行渲染，全绿对勾行连片；旁支报错行红色抖动后日志卡归档,测试行绿浪逐条推进点亮，报错分支抖动归档后回流编辑器 CUE_A,SCREEN,S5,§5.3.1（Agent-RLVR）,TODO
S5-003,8:52,9:09,17,N4a ·「名字很唬人」,三角色循环三角：出题的我（蓝）→作答的我（黄）→现实判卷（绿色齿轮法槌），通过者盖「训练数据」钢印,三角箭头描边旋转一周，钢印落下缩放震动定格 1.5s CUE_A,ANIM,S5,§5.3.1（Absolute Zero）,TODO
S5-004,9:09,9:26,17,N4b ·「现实里做不起」,网页操作 AI 在真实网站图标间试错：光标点击连环弹出红色警告弹窗，旁边时钟飞速旋转,弹窗错拍级联弹出，时钟指针快转表达高成本低效（CUE_B 前置）,ANIM,S5,§5.3.2,TODO
S5-005,9:26,9:43,17,N4b ·「给 AI 配一个「世界模型」」,AI 头顶升起半透明脑内模拟器气泡，内置微缩网页；幽灵光标先在气泡内预演点击结果,气泡缓胀成形，幽灵预演半透明重放，通过后才于真实页执行 CUE_B,ANIM,S5,§5.3.2,TODO
S5-006,9:43,9:59,16,N4b ·「这就像棋手下棋前」,棋手剪影凝视棋盘，脑内气泡推演两步虚线分支；角落标注「类比为便于理解，非论文内容」,虚线分支逐枝推演回放，选定分支实线化落子 CUE_B,FIG,S5,N/A-视觉层（类比）,TODO
S5-007,9:59,10:15,16,N4c ·「论文叫「奖励作弊」」,作文本被注水气泡撑长，老师镜片只映出「2000 字」数字；旁标红色「reward hacking」,作文纸横向拉长注水波动，字数计数器狂跳，红色描边脉冲 CUE_C,ANIM,S5,§5.3 Challenges（reward hacking）,TODO
S5-008,10:15,10:31,16,N4c ·「叫「能力回退」」,能力雷达图：数学轴猛增同时语文/英语轴塌陷回落，旁侧科目柱状图红降绿升,雷达轮廓缓动形变，塌陷轴红色下探箭头标注 CUE_C,FIG,S5,§5.3 Challenges（能力回退）,TODO
S5-009,10:31,10:47,16,N4c ·「有幻觉的世界」,脑内气泡场景与真实场景并排对照：气泡内道路扭曲，AI 沿错误路线渐行渐远,双画面同步缓动分岔，偏离角红色扇形逐帧扩张 CUE_C,ANIM,S5,§5.3 Challenges,TODO
S6-001,10:47,11:07,20,N5a ·「比起请人类老师，它们又快又省」,蓝/黄/绿三路径缩略图标并列回顾，各尾部拖红色小裂缝；顶部共同时钟与金币图标,三色图标逐个降暗，红色裂缝同步脉冲聚成「自欺」警示（CUE_A 前置）,ANIM,S6,§9.1,TODO
